"applicationdocsid","applicationdocstypeid","applno","submissiontype","submissionno","applicationdocstitle","applicationdocsurl","applicationdocsdate","tecode"
43991,10,793,"ORIG",1,"0","http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm101557.htm","2007-03-16 00:00:00",
45,1,793,"SUPPL",25,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/000793s025ltr.pdf","2007-10-04 00:00:00",
32916,2,793,"SUPPL",25,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/000793s025lbl.pdf","2007-10-04 00:00:00",
46,1,1546,"SUPPL",11,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/1546s011.pdf","2002-04-24 00:00:00",
53724,3,2918,"ORIG",1,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/002918Orig1s000.pdf","2018-04-18 00:00:00",
47,1,3444,"SUPPL",20,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/03444slr020ltr.pdf","2003-11-25 00:00:00",
43992,10,4782,"ORIG",1,"0","http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm","2009-06-02 00:00:00",
48,1,4782,"SUPPL",93,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/04782s093_premarin_appltrs.pdf","1998-09-08 00:00:00",
40641,3,4782,"SUPPL",93,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/04782s093.cfm","1998-09-08 00:00:00",
49,1,4782,"SUPPL",115,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/04782se2-115,slr130ltr.pdf","2003-05-16 00:00:00",
10665,2,4782,"SUPPL",115,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/004782s115lbl.pdf","2003-04-28 00:00:00",
40642,3,4782,"SUPPL",115,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/004782_S115&S130_PREMARIN_TABLETS.pdf","2007-04-09 00:00:00",
1,1,4782,"SUPPL",125,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/04782slr125ltr.pdf","2003-07-28 00:00:00",
2,1,4782,"SUPPL",128,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/04782slr128ltr.pdf","2002-11-27 00:00:00",
10666,2,4782,"SUPPL",128,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/04782slr128_Premarin_lbl.pdf","2002-11-27 00:00:00",
50,1,4782,"SUPPL",129,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/04782slr129ltr.pdf","2003-01-07 00:00:00",
10667,2,4782,"SUPPL",129,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/04782s129lbl.pdf","2003-01-07 00:00:00",
3,1,4782,"SUPPL",130,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/04782se2-115,slr130ltr.pdf","2003-05-16 00:00:00",
20003,3,4782,"SUPPL",130,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/004782_S115&S130_PREMARIN_TABLETS.pdf","2007-04-09 00:00:00",
32917,2,4782,"SUPPL",130,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/004782s115lbl.pdf","2003-04-30 00:00:00",
51,1,4782,"SUPPL",133,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/04782slr133,136ltr.pdf","2004-04-29 00:00:00",
10668,2,4782,"SUPPL",133,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/04782slr133,136_premarin_lbl.pdf","2004-05-04 00:00:00",
52,1,4782,"SUPPL",136,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/04782slr133,136ltr.pdf","2004-04-29 00:00:00",
10669,2,4782,"SUPPL",136,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/04782S136lbl.pdf","2004-11-17 00:00:00",
53,1,4782,"SUPPL",137,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/04782s137ltr.pdf","2004-08-31 00:00:00",
