"applno","appltype","applpublicnotes","sponsorname","tecode"
4,"NDA",,"PHARMICS",
159,"NDA",,"LILLY",
552,"NDA",,"ORGANON USA INC",
734,"NDA",,"LILLY",
793,"NDA",,"MYLAN SPECIALITY LP",
1104,"NDA",,"ORGANON USA INC",
1546,"NDA",,"MERCK SHARP DOHME",
2139,"NDA",,"LILLY",
2245,"NDA",,"PARKE DAVIS",
2282,"NDA",,"ISO TEX",
2386,"NDA",,"GD SEARLE LLC",
2918,"NDA",,"POYTHRESS",
3158,"NDA",,"SCHERING",
3240,"NDA",,"NOVARTIS",
3402,"NDA",,"PARKE DAVIS",
3444,"NDA",,"US PHARM HOLDINGS",
3718,"NDA",,"ROCHE",
3977,"NDA",,"PARKEDALE",
4039,"NDA",,"LILLY",
4040,"NDA",,"LILLY",
4041,"NDA",,"LILLY",
4054,"NDA",,"LEDERLE",
4056,"NDA",,"BRISTOL MYERS SQUIBB",
4122,"NDA",,"LILLY",
4125,"NDA",,"ABBVIE",
4570,"NDA",,"PHARMACIA AND UPJOHN",
4589,"NDA",,"B BRAUN",
4782,"NDA",,"WYETH PHARMS",
5010,"NDA",,"US PHARM HOLDINGS",
5151,"NDA",,"NOVARTIS",
5213,"NDA",,"GENUS LIFESCIENCES",
5264,"NDA",,"HOSPIRA",
5292,"NDA",,"SCHERING",
5319,"NDA",,"ALCON",
5378,"NDA",,"RECORDATI RARE",
5490,"NDA",,"ORGANON USA INC",
5509,"NDA",,"LILLY",
5521,"NDA",,"LILLY",
5545,"NDA",,"ABBVIE",
5619,"NDA",,"MERCK",
5620,"NDA",,"MERCK",
5657,"NDA",,"BRISTOL MYERS SQUIBB",
5691,"NDA",,"MEDPOINTE PHARM HLC",
5725,"NDA",,"LILLY",
5794,"NDA",,"ORTHO MCNEIL PHARM",
5795,"NDA",,"SHIRE",
5845,"NDA",,"MCNEIL CONS",
5856,"NDA",,"ABBVIE",
5897,"NDA",,"WYETH PHARMS INC",
5914,"NDA",,"NOVARTIS",
5929,"NDA",,"VALEANT",
5932,"NDA",,"ABBVIE",
5939,"NDA",,"AKORN",
5963,"NDA",,"SCHERING",
5970,"NDA",,"ELKINS SINN",
6002,"NDA",,"SANOFI AVENTIS US",
6008,"NDA",,"NOVARTIS",
6012,"NDA",,"LEDERLE",
6035,"NDA",,"EDISON THERAPS LLC",
6044,"NDA",,"ABBVIE",
6071,"NDA",,"ROCHE",
6095,"NDA",,"HOSPIRA",
6110,"NDA",,"ORTHO MCNEIL PHARM",
6134,"NDA",,"WEST-WARD PHARMS INT",
6135,"NDA",,"LILLY",
6146,"NDA",,"MCNEIL CONS",
6170,"NDA",,"B BRAUN",
6188,"NDA",,"DAVA PHARMS INC",
6203,"NDA",,"NOVARTIS",
6213,"NDA",,"LILLY",
6270,"NDA",,"ARBROOK",
6309,"NDA",,"REED AND CARNRICK",
6317,"NDA",,"LILLY",
6325,"NDA",,"LILLY",
6327,"NDA",,"SANOFI AVENTIS US",
6328,"NDA",,"SANOFI AVENTIS US",
6333,"NDA",,"CENT PHARMS",
6343,"NDA",,"BAXTER HLTHCARE",
6383,"NDA",,"MALLINCKRODT INC",
6403,"NDA",,"NOVARTIS",
6412,"NDA",,"SANOFI AVENTIS US",
6441,"NDA",,"PARKE DAVIS",
6459,"NDA",,"LEDERLE",
6460,"NDA",,"LILLY",
6470,"NDA",,"LILLY",
6488,"NDA",,"FRESENIUS KABI USA",
6514,"NDA",,"PARKE DAVIS",
6525,"NDA",,"ROCHE",
6530,"NDA",,"MYLAN SPECIALITY LP",
6536,"NDA",,"ODYSSEY PHARMS",
6580,"NDA",,"MCGAW",
6620,"NDA",,"NOVARTIS",
6632,"NDA",,"LILLY",
6668,"NDA",,"MERCK",
6695,"NDA",,"RECORDATI RARE",
6772,"NDA",,"GLAXOSMITHKLINE",
6773,"NDA",,"LEDERLE",
6798,"NDA",,"PHARMACIA AND UPJOHN",
6799,"NDA",,"BRISTOL MYERS SQUIBB",
6800,"NDA",,"ABBVIE",
6811,"NDA",,"PANRAY",
6823,"NDA",,"CASPER PHARMA LLC",
6882,"NDA",,"SANOFI AVENTIS US",
6904,"NDA",,"BRISTOL MYERS SQUIBB",
6905,"NDA",,"ABBVIE",
6917,"NDA",,"ROCHE",
6920,"NDA",,"LEDERLE",
6921,"NDA",,"SCHERING",
6927,"NDA",,"SUN PHARM INDS INC",
6931,"NDA",,"GLAXOSMITHKLINE",
7012,"NDA",,"BAYER HLTHCARE",
7073,"NDA",,"PHARMACIA AND UPJOHN",
7085,"NDA",,"WARNER CHILCOTT",
7110,"NDA",,"MERCK",
7245,"NDA",,"LILLY",
7320,"NDA",,"CONSOLIDATED MIDLAND",
7335,"NDA",,"APOTHECON",
7336,"NDA",,"3M",
7337,"NDA",,"ENDO PHARMS",
7390,"NDA",,"SHIRE",
7392,"NDA",,"LILLY",
7409,"NDA",,"ALLERGAN SALES LLC",
7413,"NDA",,"PHARMACIA AND UPJOHN",
7504,"NDA",,"SANOFI AVENTIS US",
7513,"NDA",,"HOSPIRA",
7517,"NDA",,"KING PHARMS",
7529,"NDA",,"LILLY",
7600,"NDA",,"PARKEDALE",
7638,"NDA",,"BAYER HEALTHCARE LLC",
7707,"NDA",,"ABBVIE",
7750,"NDA",,"MERCK",
7757,"NDA",,"ROCHE",
7794,"NDA",,"TEVA",
7842,"NDA",,"DAVIS AND GECK",
7865,"NDA",,"LILLY",
7883,"NDA",,"TEVA WOMENS",
7898,"NDA",,"MERCK",
7935,"NDA",,"DELCOR ASSET CORP",
7936,"NDA",,"CHATTEM",
7942,"NDA",,"FOREST LABS",
7953,"NDA",,"ALLERGAN",
7959,"NDA",,"TELIGENT",
7961,"NDA",,"APTALIS PHARMA US",
7984,"NDA",,"PARKE DAVIS",
8032,"NDA",,"GE HEALTHCARE",
8041,"NDA",,"PARKE DAVIS",
8048,"NDA",,"ASTRAZENECA",
8085,"NDA",,"DAVA PHARMS INC",
8102,"NDA",,"SANOFI AVENTIS US",
8107,"NDA",,"HOSPIRA",
8114,"NDA",,"SCHERING",
8126,"NDA",,"PHARMACIA AND UPJOHN",
8173,"NDA",,"VALEANT PHARM INTL",
8228,"NDA",,"MERCK",
8248,"NDA",,"BAXTER HLTHCARE CORP",
8278,"NDA",,"NOVARTIS",
8284,"NDA",,"PANRAY",
8303,"NDA",,"NOVARTIS",
8306,"NDA",,"ANI PHARMS",
8316,"NDA",,"SANOFI AVENTIS US",
8317,"NDA",,"PARKEDALE",
8319,"NDA",,"NOVARTIS",
8322,"NDA",,"ABBVIE",
8370,"NDA",,"ALLERGAN SALES LLC",
8372,"NDA",,"MALLINCKRODT ARD",
8378,"NDA",,"INTL MINERALS",
8381,"NDA",,"ANI PHARMS",
8392,"NDA",,"BRISTOL MYERS SQUIBB",
8402,"NDA",,"SANOFI AVENTIS US",
8414,"NDA",,"ROCHE",
8420,"NDA",,"ROCHE",
8428,"NDA",,"PANRAY",
8453,"NDA",,"SANDOZ INC",
8472,"NDA",,"MERCK",
8492,"NDA",,"NOVARTIS",
8499,"NDA",,"LILLY",
8506,"NDA",,"MERCK",
8565,"NDA",,"WYETH AYERST",
8578,"NDA",,"VYERA PHARMS LLC",
8592,"NDA",,"EASTMAN KODAK",
8604,"NDA",,"ANI PHARMS",
8662,"NDA",,"SANDOZ",
8678,"NDA",,"SANDOZ",
8682,"NDA",,"SANOFI AVENTIS US",
8693,"NDA",,"PROCTER AND GAMBLE",
8697,"NDA",,"PHARMACIA AND UPJOHN",
8708,"NDA",,"CONCORDIA PHARMS INC",
8719,"NDA",,"VALEANT PHARM INTL",
