"applno","productno","marketingstatusid","tecodestr","tecode"
3444,1,1,"AA",1
5010,1,1,"AA",1
5010,4,1,"AA",1
5378,2,1,"AA",1
5929,1,1,"AP",52
6035,4,1,"AP",52
6134,2,1,"AA",1
6134,10,1,"AA",1
6188,1,1,"BD",131
6488,2,1,"AP",52
6488,4,1,"AP",52
6488,5,1,"AP",52
6488,7,1,"AP",52
6488,8,1,"AP",52
6488,10,1,"AP",52
6488,12,1,"AP",52
6488,17,1,"AP",52
6488,19,1,"AP",52
7073,1,1,"AB",2
7073,2,1,"AB",2
7337,7,1,"AA",1
7409,1,1,"AB",2
7409,3,1,"AB",2
7513,1,1,"AP",52
8085,2,1,"AB",2
8316,1,1,"AB",2
8370,1,1,"AP",52
8370,2,1,"AP",52
8453,2,1,"AP",52
8678,2,1,"AA",1
8678,3,1,"AA",1
8697,1,1,"AB",2
8697,2,1,"AB",2
8697,3,1,"AB",2
8708,1,1,"AB",2
8762,1,1,"AB",2
8816,1,1,"AT",56
8845,1,1,"AP",52
8845,6,1,"AP",52
9053,2,1,"AB",2
9112,3,1,"AT",56
9170,2,1,"AB",2
9170,3,1,"AB",2
9175,1,1,"AB",2
9218,5,1,"AB",2
9218,7,1,"AB",2
9218,13,1,"AB",2
9218,16,1,"AB",2
9218,18,1,"AB",2
9218,22,1,"AB",2
9218,23,1,"AB",2
9218,25,1,"AB",2
9218,26,1,"AB",2
9330,2,1,"AP",52
9402,3,1,"AO",51
9402,4,1,"AO",51
9435,2,1,"AP",52
9435,6,1,"AP",52
9435,7,1,"AP",52
9768,1,1,"AB",2
9829,2,1,"AB",2
9830,1,1,"AP",52
10104,3,1,"AB",2
10187,3,1,"AB",2
10187,6,1,"AB",2
10187,10,1,"AB",2
10379,1,1,"AB",2
10379,2,1,"AB",2
10379,3,1,"AB",2
10417,1,1,"AP",52
10417,2,1,"AT",56
10515,1,1,"AP",52
11011,4,1,"AA",1
11011,6,1,"AA",1
11145,5,1,"AP",52
11153,1,1,"AB",2
11153,3,1,"AB",2
11153,4,1,"AB",2
11153,6,1,"AB",2
11210,1,1,"AA",1
11245,3,1,"AA",1
11459,2,1,"AB",2
11459,4,1,"AB",2
11525,1,1,"AP",52
11601,3,1,"AT",56
11601,6,1,"AT",56
11665,1,1,"AB",2
11719,10,1,"AP",52
11719,12,1,"AP",52
11722,2,1,"AA",1
11757,1,1,"AB",2
11757,2,1,"AB",2
11757,4,1,"AB",2
11790,1,1,"AP",52
11792,1,1,"AA",1
11792,4,1,"AB",2
11839,1,1,"AB",2
11839,3,1,"AB",2
11839,4,1,"AB",2
11856,3,1,"AP",52
11856,4,1,"AP",52
11856,5,1,"AP",52
11856,6,1,"AP",52
11856,7,1,"AP",52
11909,2,1,"AB",2
12015,1,1,"AP",52
12093,7,1,"AB",2
12104,1,1,"AT",56
